IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738254,2020-03-23T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,2,0,738255,2020-03-24T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738256,2020-03-25T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738257,2020-03-26T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,3,0,738258,2020-03-27T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,2,0,738259,2020-03-28T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738260,2020-03-30T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,3,0,738261,2020-03-31T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A05-A14,W,1,0,738262,2020-04-03T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",1,-9
2,Hamburg,SK Hamburg,A05-A14,W,2,0,738263,2020-04-04T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",1,-9
2,Hamburg,SK Hamburg,A15-A34,M,1,0,738264,2020-03-06T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,1,0,738265,2020-03-07T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,1,0,738266,2020-03-08T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,1,0,738267,2020-03-09T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,5,0,738268,2020-03-10T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,5,0,738269,2020-03-11T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,6,0,738270,2020-03-12T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,7,0,738271,2020-03-13T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,15,0,738272,2020-03-14T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,13,0,738273,2020-03-15T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,12,0,738274,2020-03-16T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,16,0,738275,2020-03-17T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,27,0,738276,2020-03-18T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,37,0,738277,2020-03-19T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,23,0,738278,2020-03-20T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,29,0,738279,2020-03-21T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,28,0,738280,2020-03-22T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,26,0,738281,2020-03-23T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,-1,0,738282,2020-03-24T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",-1,-9
2,Hamburg,SK Hamburg,A15-A34,M,27,0,738283,2020-03-24T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,17,0,738284,2020-03-25T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,24,0,738285,2020-03-26T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,15,0,738286,2020-03-27T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,17,0,738287,2020-03-28T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,16,0,738288,2020-03-29T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,17,0,738289,2020-03-30T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,18,0,738290,2020-03-31T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,11,0,738291,2020-04-01T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,21,0,738292,2020-04-02T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,7,0,738293,2020-04-02T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",1,-9
2,Hamburg,SK Hamburg,A15-A34,M,3,0,738294,2020-04-03T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,M,25,0,738295,2020-04-03T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",1,-9
2,Hamburg,SK Hamburg,A15-A34,M,10,0,738296,2020-04-04T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",1,-9
2,Hamburg,SK Hamburg,A15-A34,unbekannt,1,0,738297,2020-03-17T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,unbekannt,1,0,738298,2020-03-20T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,unbekannt,1,0,738299,2020-03-25T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,unbekannt,1,0,738300,2020-03-31T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,3,0,738301,2020-03-05T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,1,0,738302,2020-03-06T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,3,0,738303,2020-03-09T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,3,0,738304,2020-03-10T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,8,0,738305,2020-03-11T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,3,0,738306,2020-03-12T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,5,0,738307,2020-03-13T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,14,0,738308,2020-03-14T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,12,0,738309,2020-03-15T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,13,0,738310,2020-03-16T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,21,0,738311,2020-03-17T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,19,0,738312,2020-03-18T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,37,0,738313,2020-03-19T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,26,0,738314,2020-03-20T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,18,0,738315,2020-03-21T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,30,0,738316,2020-03-22T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
2,Hamburg,SK Hamburg,A15-A34,W,18,0,738317,2020-03-23T00:00:00.000Z,02000,"05.04.2020, 00:00 Uhr",0,-9
